2024-01-13 13:35:28,840 p=3127 u=rob n=ansible | ok: [oobm-z65ole]
2024-01-13 13:35:28,842 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: Login to EVE-NG and get Cookie] ****************************************************
2024-01-13 13:35:28,854 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:35:28,854 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:35:28,857 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:35:30,040 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:35:30,046 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: get lab status] ********************************************************************
2024-01-13 13:35:30,064 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:35:30,064 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:35:30,067 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:35:30,516 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:35:30,520 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: start all nodes] *******************************************************************
2024-01-13 13:35:30,531 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:35:30,533 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:35:30,535 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:35:31,563 p=3127 u=rob n=ansible | ok: [eveng] => (item=4)
2024-01-13 13:35:32,108 p=3127 u=rob n=ansible | ok: [eveng] => (item=1)
2024-01-13 13:35:33,376 p=3127 u=rob n=ansible | ok: [eveng] => (item=2)
2024-01-13 13:35:33,381 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: Wait for vyos nodes] ***************************************************************
2024-01-13 13:35:33,388 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:35:33,392 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:35:34,286 p=3127 u=rob n=ansible | network_os is set to vyos
2024-01-13 13:35:34,286 p=3127 u=rob n=ansible | network_os is set to vyos
2024-01-13 13:36:04,323 p=3541 u=rob n=p=3541 u=rob | paramiko [vyos-wan] | Exception (client): Error reading SSH protocol banner
2024-01-13 13:36:04,325 p=3541 u=rob n=p=3541 u=rob | paramiko [vyos-wan] | Traceback (most recent call last):
2024-01-13 13:36:04,325 p=3541 u=rob n=p=3541 u=rob | paramiko [vyos-wan] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.12/site-packages/paramiko/transport.py", line 2327, in _check_banner
2024-01-13 13:36:04,326 p=3541 u=rob n=p=3541 u=rob | paramiko [vyos-wan] |     buf = self.packetizer.readline(timeout)
