2023-02-24 12:57:19,631 p=28216 u=rob n=ansible | PLAY [Automatic VyOS Lab test] **********************************************************************************************************************************
2023-02-24 12:57:23,453 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: get node infos] **********************************************************************************************************
2023-02-24 12:57:23,473 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,480 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,481 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,483 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,487 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,489 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : set_fact] ****************************************************************************************************************************
2023-02-24 12:57:23,510 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,516 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,516 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,518 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,522 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,525 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: copy file] ***************************************************************************************************************
2023-02-24 12:57:23,545 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,552 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,553 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,554 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,558 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,561 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: run expect script] *******************************************************************************************************
2023-02-24 12:57:23,581 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,588 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,588 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,590 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,594 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,597 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: Login to EVE-NG and get Cookie (due timeout)] ****************************************************************************
2023-02-24 12:57:23,610 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,619 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,625 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,627 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,632 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,635 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: stop node] ***************************************************************************************************************
2023-02-24 12:57:23,648 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,656 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,663 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,665 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,669 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,673 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: Pause to wait node is shutdown] ******************************************************************************************
