2023-02-24 13:05:57,233 p=29738 u=rob n=ansible | PLAY [Automatic VyOS Lab test] **********************************************************************************************************************************
2023-02-24 13:06:00,723 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,723 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,725 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,730 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,733 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: run expect script] ********************************************************************************************
2023-02-24 13:06:00,755 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,762 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,763 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,764 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,769 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,772 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: Login to EVE-NG and get Cookie (due timeout)] *****************************************************************
2023-02-24 13:06:00,786 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,794 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,802 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,804 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,808 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,811 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: stop node] ****************************************************************************************************
2023-02-24 13:06:00,824 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,832 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,838 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,840 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,844 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,848 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: Pause to wait node is shutdown] *******************************************************************************
2023-02-24 13:06:00,858 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,861 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: delete iso] ***************************************************************************************************
2023-02-24 13:06:00,882 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,887 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,887 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,889 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,894 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,897 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: commit virtioa.qcow2] *****************************************************************************************
2023-02-24 13:06:00,911 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,918 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,924 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,927 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,931 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,934 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: delete lab for node install] **********************************************************************************
2023-02-24 13:06:00,953 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,961 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,961 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,963 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,967 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,977 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : Get env file content] *******************************************************************************************************************
2023-02-24 13:06:01,208 p=29738 u=rob n=ansible | ok: [transport -> localhost]
2023-02-24 13:06:01,208 p=29738 u=rob n=ansible | ok: [dhcp-relay -> localhost]
2023-02-24 13:06:01,208 p=29738 u=rob n=ansible | ok: [dhcp-server -> localhost]
2023-02-24 13:06:01,208 p=29738 u=rob n=ansible | ok: [eveng -> localhost]
2023-02-24 13:06:01,208 p=29738 u=rob n=ansible | ok: [vyos-oobm -> localhost]
2023-02-24 13:06:01,211 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: Load facts] ******************************************************************************************************
2023-02-24 13:06:01,238 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:06:01,240 p=29738 u=rob n=ansible | ok: [vyos-oobm]
2023-02-24 13:06:02,206 p=29738 u=rob n=ansible | network_os is set to vyos
2023-02-24 13:06:02,206 p=29738 u=rob n=ansible | [WARNING]: ansible-pylibssh not installed, falling back to paramiko

2023-02-24 13:06:02,208 p=29738 u=rob n=ansible | ok: [dhcp-relay]
2023-02-24 13:06:02,221 p=29738 u=rob n=ansible | network_os is set to vyos
2023-02-24 13:06:02,222 p=29738 u=rob n=ansible | [WARNING]: ansible-pylibssh not installed, falling back to paramiko

2023-02-24 13:06:02,223 p=29738 u=rob n=ansible | ok: [dhcp-server]
2023-02-24 13:06:02,225 p=29738 u=rob n=ansible | network_os is set to vyos
2023-02-24 13:06:02,226 p=29738 u=rob n=ansible | [WARNING]: ansible-pylibssh not installed, falling back to paramiko

2023-02-24 13:06:02,228 p=29738 u=rob n=ansible | ok: [transport]
2023-02-24 13:06:02,231 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: fail if node_template_version is empty] **************************************************************************
2023-02-24 13:06:02,245 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:02,253 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:02,260 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:02,262 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:02,267 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:02,270 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: Login to EVE-NG and get Cookie] **********************************************************************************
2023-02-24 13:06:02,291 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:02,299 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:02,301 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:02,306 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:02,958 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:06:02,968 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: get running lab list] ********************************************************************************************
2023-02-24 13:06:03,000 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:03,009 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:03,011 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:03,017 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:03,388 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:06:03,398 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: kill running lab] ************************************************************************************************
2023-02-24 13:06:03,422 p=29738 u=rob n=ansible | [WARNING]: conditional statements should not include jinja2 templating delimiters such as {{ }} or {% %}. Found: item.labname == "{{ eve_ng_folder_name }}/{{
lab }}"

2023-02-24 13:06:03,425 p=29738 u=rob n=ansible | skipping: [eveng] => (item={'podid': '0', 'username': 'admin', 'online': '1', 'uuid': '588b9164-a3b7-4522-8058-0f6ff6286564', 'size': 0.218, 'sat': '0', 'sat_name': 'master', 'labid': 1001, 'labname': '/Common\n', 'cpu': 0, 'mem': 0}) 
2023-02-24 13:06:03,435 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:03,442 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:03,442 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:03,445 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:03,451 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:03,454 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: delete existing lab] *********************************************************************************************
2023-02-24 13:06:03,475 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:03,483 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:03,485 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:03,490 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:04,078 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:06:04,089 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: Ensure labtest is present] ***************************************************************************************
2023-02-24 13:06:04,121 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:04,131 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:04,133 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:04,138 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:04,316 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:06:04,321 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: Create DHCPRelay_through_GRE Lab] ********************************************************************************
2023-02-24 13:06:04,344 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:04,351 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:04,354 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:04,360 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:04,814 p=29738 u=rob n=ansible | changed: [eveng]
2023-02-24 13:06:04,818 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: Login to EVE-NG and get Cookie] **********************************************************************************
2023-02-24 13:06:04,840 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:04,848 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:04,850 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:04,855 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:05,442 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:06:05,451 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: start vyos-oobm] *************************************************************************************************
2023-02-24 13:06:05,483 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:05,491 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:05,494 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:05,500 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:06,374 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:06:06,379 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: Wait for vyos-oobm] **********************************************************************************************
2023-02-24 13:06:06,404 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:06,422 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:06,425 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:06,432 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:55,915 p=29738 u=rob n=ansible | ok: [vyos-oobm]
2023-02-24 13:06:55,929 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: Login to EVE-NG and get Cookie] **********************************************************************************
2023-02-24 13:06:55,966 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:55,973 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:55,975 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:55,982 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:56,817 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:06:56,823 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: get lab status] **************************************************************************************************
2023-02-24 13:06:56,856 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
